id,date,merchant,amount,category,payment_mode,notes
TX0077,2025-12-20,OYO,3258,Travel,Card,Goa trip
TX0036,2025-12-21,Netflix,649,Subscriptions,Card,Monthly subscription
TX0056,2025-12-22,Blinkit,876,Food,UPI,
TX0061,2025-12-22,Hyderabad Metro,44,Travel,UPI,
TX0046,2025-12-23,Zomato,486,Food,UPI,
TX0060,2025-12-23,Rapido,175,Travel,UPI,
TX0076,2025-12-23,IndiGo Airlines,5226,Travel,Card,Goa trip
TX0050,2025-12-24,BigBasket,2061,Food,UPI,
TX0055,2025-12-25,Zomato,572,Food,UPI,
TX0067,2025-12-25,Croma,7331,Shopping,Card,
TX0075,2025-12-25,PharmEasy,923,Health,UPI,
TX0045,2025-12-26,BigBasket,3036,Food,UPI,
TX0062,2025-12-26,Rapido,172,Travel,UPI,
TX0070,2025-12-26,Ajio,1814,Shopping,Card,
TX0043,2025-12-27,Jio Recharge,681,Bills,Card,
TX0058,2025-12-28,Blinkit,666,Food,UPI,
TX0037,2025-12-29,Spotify,119,Subscriptions,Card,Monthly subscription
TX0044,2025-12-30,Jio Recharge,712,Bills,UPI,
TX0039,2025-12-31,Notion Pro,320,Subscriptions,Card,Monthly subscription
TX0078,2026-01-01,House Rent,18000,Rent,Net Banking,Monthly rent
TX0093,2026-01-03,Swiggy,319,Food,UPI,
TX0106,2026-01-03,PVR Cinemas,687,Entertainment,Card,
TX0101,2026-01-04,Croma,10670,Shopping,UPI,
TX0087,2026-01-06,BigBasket,2305,Food,UPI,
TX0089,2026-01-06,D-Mart,2219,Food,UPI,
TX0102,2026-01-06,Amazon,5743,Shopping,Card,
TX0080,2026-01-07,Spotify,119,Subscriptions,Card,Monthly subscription
TX0084,2026-01-09,Cult.fit Gym,1999,Health,UPI,Monthly gym membership
TX0105,2026-01-11,BookMyShow,576,Entertainment,Card,
TX0096,2026-01-12,Swiggy,633,Food,UPI,
TX0103,2026-01-12,Croma,2497,Shopping,Card,
TX0085,2026-01-13,Gas Agency,1069,Bills,UPI,
TX0094,2026-01-14,D-Mart,3114,Food,UPI,
TX0090,2026-01-15,BigBasket,3202,Food,UPI,
TX0079,2026-01-17,Netflix,649,Subscriptions,Card,Monthly subscription
TX0083,2026-01-17,Amazon Prime,299,Subscriptions,Card,Monthly subscription
TX0091,2026-01-17,Zomato,528,Food,UPI,
TX0104,2026-01-17,Croma,11896,Shopping,UPI,
TX0097,2026-01-19,Hyderabad Metro,126,Travel,UPI,
TX0099,2026-01-19,Hyderabad Metro,124,Travel,UPI,
TX0100,2026-01-19,Rapido,124,Travel,UPI,
TX0098,2026-01-23,Rapido,64,Travel,UPI,
TX0088,2026-01-25,BigBasket,3053,Food,UPI,
TX0107,2026-01-25,HealthifyMe,932,Health,UPI,
TX0081,2026-01-26,YouTube Premium,189,Subscriptions,Card,Monthly subscription
TX0086,2026-01-28,Jio Recharge,695,Bills,UPI,
TX0092,2026-01-28,BigBasket,4004,Food,UPI,
TX0095,2026-01-28,Blinkit,781,Food,UPI,
TX0082,2026-01-29,Notion Pro,320,Subscriptions,Card,Monthly subscription
TX0108,2026-02-01,House Rent,18000,Rent,Net Banking,Monthly rent
TX0111,2026-02-01,YouTube Premium,189,Subscriptions,Card,Monthly subscription
TX0128,2026-02-01,Hyderabad Metro,130,Travel,UPI,
TX0112,2026-02-02,Notion Pro,320,Subscriptions,Card,Monthly subscription
TX0129,2026-02-02,Hyderabad Metro,64,Travel,UPI,
TX0113,2026-02-04,Amazon Prime,299,Subscriptions,Card,Monthly subscription
TX0130,2026-02-04,Flipkart,2919,Shopping,Card,
TX0109,2026-02-09,Netflix,649,Subscriptions,Card,Monthly subscription
TX0114,2026-02-09,Cult.fit Gym,1999,Health,UPI,Monthly gym membership
TX0122,2026-02-09,Blinkit,725,Food,UPI,
TX0125,2026-02-10,D-Mart,3696,Food,UPI,
TX0132,2026-02-12,Hotstar,704,Entertainment,Card,
TX0118,2026-02-13,Blinkit,371,Food,UPI,
TX0110,2026-02-14,Spotify,119,Subscriptions,Card,Monthly subscription
TX0127,2026-02-14,Uber,190,Travel,UPI,
TX0119,2026-02-20,BigBasket,3441,Food,UPI,
TX0131,2026-02-20,Flipkart,2519,Shopping,UPI,
TX0117,2026-02-21,D-Mart,3018,Food,UPI,
TX0115,2026-02-22,Airtel Broadband,873,Bills,Net Banking,
TX0120,2026-02-22,D-Mart,2565,Food,UPI,
TX0124,2026-02-23,BigBasket,1956,Food,UPI,
TX0126,2026-02-25,Hyderabad Metro,154,Travel,UPI,
TX0133,2026-02-25,HealthifyMe,688,Health,UPI,
TX0134,2026-02-25,HealthifyMe,830,Health,UPI,
TX0123,2026-02-27,D-Mart,2230,Food,UPI,
TX0116,2026-02-28,HMWSSB Water,397,Bills,UPI,
TX0121,2026-02-28,Zomato,603,Food,UPI,
TX0135,2026-03-01,House Rent,18000,Rent,Net Banking,Monthly rent
TX0139,2026-03-01,Notion Pro,320,Subscriptions,Card,Monthly subscription
TX0148,2026-03-01,Zomato,589,Food,UPI,
TX0156,2026-03-01,Ola,141,Travel,UPI,
TX0160,2026-03-04,Flipkart,3316,Shopping,Card,
TX0163,2026-03-04,PVR Cinemas,1462,Entertainment,Card,
TX0136,2026-03-05,Netflix,649,Subscriptions,Card,Monthly subscription
TX0144,2026-03-05,Airtel Broadband,1374,Bills,Net Banking,
TX0137,2026-03-06,Spotify,119,Subscriptions,Card,Monthly subscription
TX0158,2026-03-06,H&M,1112,Shopping,Card,
TX0142,2026-03-08,Airtel Broadband,1271,Bills,UPI,
TX0149,2026-03-08,Swiggy,422,Food,UPI,
TX0152,2026-03-09,Swiggy,461,Food,UPI,
TX0165,2026-03-10,SonyLIV,463,Entertainment,Card,
TX0166,2026-03-10,Apollo Pharmacy,608,Health,UPI,
TX0146,2026-03-11,Blinkit,801,Food,UPI,
TX0147,2026-03-11,Blinkit,765,Food,UPI,
TX0141,2026-03-12,Cult.fit Gym,1999,Health,UPI,Monthly gym membership
TX0151,2026-03-12,D-Mart,3268,Food,UPI,
TX0162,2026-03-13,Nykaa,415,Shopping,UPI,
TX0164,2026-03-13,BookMyShow,445,Entertainment,Card,
TX0153,2026-03-15,Rapido,99,Travel,UPI,
TX0143,2026-03-16,PhonePe BBPS,777,Bills,Card,
TX0154,2026-03-16,Ola,271,Travel,UPI,
TX0138,2026-03-18,YouTube Premium,189,Subscriptions,Card,Monthly subscription
TX0145,2026-03-21,Swiggy,458,Food,UPI,
TX0155,2026-03-21,Hyderabad Metro,62,Travel,UPI,
TX0140,2026-03-22,Amazon Prime,299,Subscriptions,Card,Monthly subscription
TX0150,2026-03-24,Blinkit,824,Food,UPI,
TX0159,2026-03-24,Myntra,1680,Shopping,UPI,
TX0157,2026-03-27,Hyderabad Metro,168,Travel,UPI,
TX0161,2026-03-28,Nykaa,665,Shopping,UPI,
TX0167,2026-04-01,House Rent,18000,Rent,Net Banking,Monthly rent
TX0176,2026-04-01,Swiggy,530,Food,UPI,
TX0178,2026-04-02,Swiggy,232,Food,UPI,
TX0184,2026-04-02,Hotstar,936,Entertainment,Card,
TX0172,2026-04-03,Amazon Prime,299,Subscriptions,Card,Monthly subscription
TX0177,2026-04-03,Swiggy,355,Food,UPI,
TX0168,2026-04-05,Netflix,649,Subscriptions,Card,Monthly subscription
TX0170,2026-04-05,YouTube Premium,189,Subscriptions,Card,Monthly subscription
TX0179,2026-04-05,Hyderabad Metro,41,Travel,UPI,
TX0183,2026-04-05,Ajio,1103,Shopping,Card,
TX0171,2026-04-06,Notion Pro,320,Subscriptions,Card,Monthly subscription
TX0181,2026-04-06,Rapido,66,Travel,UPI,
TX0185,2026-04-08,Practo Consult,1184,Health,UPI,
TX0169,2026-04-09,Spotify,119,Subscriptions,Card,Monthly subscription
TX0180,2026-04-10,Rapido,119,Travel,UPI,
TX0173,2026-04-11,Cult.fit Gym,1999,Health,UPI,Monthly gym membership
TX0182,2026-04-12,Amazon,5282,Shopping,Card,
TX0175,2026-04-14,Gas Agency,996,Bills,UPI,
TX0174,2026-04-28,Gas Agency,1026,Bills,Net Banking,
